 Destination Port, Flow Duration, Total Fwd Packets,Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean,Bwd Packet Length Max, Bwd Packet Length Min,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance,FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio, act_data_pkt_fwd,Active Mean, Active Std, Active Max, Active Min, Idle Std, Label
80.0,1435000.0,140833.0,7886652.0,60.0,56.0,56.00002840243409,60.0,0.0,8440105.923344947,147211.14982578397,10.189445580549876,14.410052133076226,1000.0,0.0,20.37889116109975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98141.46341463414,49069.68641114982,56.0,60.0,57.333333333333336,5.333333333333335,0.0,1.0,0.0,1.0,0.0,0.49998934908721676,140833.0,1435000.0,0.0,1435000.0,1435000.0,0.0,DoS
80.0,1147000.0,126301.0,7072860.0,60.0,56.0,56.00003167037474,60.0,0.0,9469747.16652136,165170.0087183958,9.08140805371253,12.843050435004516,1000.0,0.0,18.16281610742506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110114.21098517872,55055.797733217085,56.0,60.0,57.333333333333336,5.333291106501348,0.0,1.0,0.0,1.0,0.0,0.4999881236094726,126301.0,1147000.0,0.0,1147000.0,1147000.0,0.0,DoS
80.0,1233000.0,123231.0,6900940.0,60.0,56.0,56.00003245936493,60.0,0.0,8595263.584752636,149917.27493917273,10.004706187825578,14.148791178380963,1000.0,0.0,20.009412375651156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99944.03892944039,49973.236009732354,56.0,60.0,57.333376612135375,5.333463159204383,0.0,1.0,0.0,1.0,0.0,0.5000121722618497,123231.0,1233000.0,0.0,1233000.0,1233000.0,0.0,DoS
80.0,1276000.0,138109.0,7734108.0,60.0,56.0,56.000028962630964,60.0,0.0,9308407.523510972,162355.79937304076,9.237273411710198,13.063477338188955,1000.0,0.0,18.474546823420397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108235.8934169279,54119.90595611285,56.0,60.0,57.3333848218337,5.3332561147468205,0.0,1.0,0.0,1.0,0.0,0.5000181016443533,138109.0,1276000.0,0.0,1276000.0,1276000.0,0.0,DoS
80.0,1338000.0,141485.0,7923168.0,60.0,56.0,56.00005654309644,60.0,0.0,9094026.905829595,158616.59192825112,9.462763777190428,13.362380269486142,1000.0,0.0,18.897259402693955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105743.64723467862,52872.94469357249,56.0,60.0,57.33338987603014,5.3334840968089985,0.0,1.0,0.0,1.0,0.0,0.5000106018305828,141485.0,1338000.0,0.0,1338000.0,1338000.0,0.0,DoS
80.0,2287000.0,27.0,2328.0,156.0,56.0,86.22222222222223,253.0,58.0,1981.198076082204,21.862702229995627,50822.222222222226,86768.30746836969,657000.0,0.0,58330.00000000001,68998.87536036894,0.0,1665000.0,86066.66666666667,108058.72896239748,657000.0,0.0,1.0,1.0,0.0,0.0,11.80585920419764,10.056843025797988,56.0,253.0,90.62,2235.3,1.0,1.0,1.0,1.0,0.0,0.8518518518518519,27.0,2287000.0,0.0,2287000.0,2287000.0,0.0,DoS
80.0,1438000.0,149435.0,8368364.0,60.0,56.0,56.00002676749088,60.0,0.0,8936942.97635605,155876.9123783032,9.62297736793501,13.60894510414304,1000.0,0.0,19.24595473587002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103918.63699582755,51958.275382475666,56.0,60.0,57.333333333333336,5.333333333333335,0.0,1.0,0.0,1.0,0.0,0.4999899621909191,149435.0,1438000.0,0.0,1438000.0,1438000.0,0.0,DoS
80.0,1269000.0,147464.0,8257988.0,60.0,56.0,56.000027125264474,60.0,0.0,9993670.60677699,174308.11662726558,8.605140028480369,12.169505734396541,1000.0,0.0,17.210280056960737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116204.88573680064,58103.23089046494,56.0,60.0,57.33336347237982,5.333477995524515,0.0,1.0,0.0,1.0,0.0,0.5000067813161179,147464.0,1269000.0,0.0,1269000.0,1269000.0,0.0,DoS
80.0,1339000.0,145572.0,8152036.0,60.0,56.0,56.00002747781167,60.0,0.0,9350198.65571322,163084.39133681852,9.196428571428571,13.005714011109713,1000.0,0.0,18.392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108716.95294996267,54367.438386855865,56.0,60.0,57.33349819114347,5.334285714285716,0.0,1.0,0.0,1.0,0.0,0.5000824334350013,145572.0,1339000.0,0.0,1339000.0,1339000.0,0.0,DoS
80.0,1454000.0,153960.0,8621764.0,60.0,56.0,56.000025980774225,60.0,0.0,9106302.613480056,158830.81155433287,9.443766075186407,13.355502063407554,1000.0,0.0,18.887532150372813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105887.20770288858,52943.60385144429,56.0,60.0,57.333350653849486,5.333402613597985,0.0,1.0,0.0,1.0,0.0,0.5,153960.0,1454000.0,0.0,1454000.0,1454000.0,0.0,DoS
80.0,1233000.0,145277.0,8135516.0,60.0,56.0,56.00002753360821,60.0,0.0,10132794.809407948,176734.7931873479,8.487293152344503,12.002845083881896,1000.0,0.0,16.974586304689005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117824.00648824006,58910.78669910786,56.0,60.0,57.333333333333336,5.333333333333335,0.0,1.0,0.0,1.0,0.0,0.49998967489692103,145277.0,1233000.0,0.0,1233000.0,1233000.0,0.0,DoS
80.0,1078000.0,117338.0,6570932.0,60.0,56.0,56.00003408955325,60.0,0.0,9360864.56400742,163270.8719851577,9.18697801261292,12.992348902660614,1000.0,0.0,18.37395602522584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108847.86641929498,54423.0055658627,56.0,60.0,57.33334090883265,5.333333333333334,0.0,1.0,0.0,1.0,0.0,0.4999914776116859,117338.0,1078000.0,0.0,1078000.0,1078000.0,0.0,DoS
80.0,1021000.0,124563.0,6975536.0,60.0,56.0,56.000064224528955,60.0,0.0,10491945.15181195,182999.02056807053,8.195668577116344,11.590425654472941,1000.0,0.0,16.391337154232687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122000.97943192949,60998.041136141044,56.0,60.0,57.33334046948759,5.333033654952453,0.0,1.0,0.0,1.0,0.0,0.49997992983470213,124563.0,1021000.0,0.0,1021000.0,1021000.0,0.0,DoS
80.0,1206000.0,139057.0,7787196.0,60.0,56.0,56.00002876518262,60.0,0.0,9916497.512437811,172961.85737976784,8.67608792535833,12.249510075328711,1000.0,0.0,17.323423280955737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115304.31177446104,57657.545605306805,56.0,60.0,57.33343560635115,5.3330649760155655,0.0,1.0,0.0,1.0,0.0,0.5000467434217623,139057.0,1206000.0,0.0,1206000.0,1206000.0,0.0,DoS
80.0,12457000.0,1779.0,128387.0,1508.0,68.0,72.16807195053401,5828.0,0.0,640236.6540900698,393.3531347836558,280356.9886034167,132949.1379078185,1279000.0,0.0,282740.9443486983,136047.56307151986,0.0,9789000.0,2096.9809216191848,6470.73538538029,319000.0,0.0,1.0,1.0,0.0,0.0,142.8112707714538,250.54186401220196,68.0,5828.0,1627.6383673469388,1267462.2825533266,1.0,0.0,1.0,1.0,0.0,1.7543563799887578,1779.0,12457000.0,0.0,12457000.0,12457000.0,0.0,DoS
80.0,1244000.0,146271.0,8191180.0,60.0,56.0,56.00002734650067,60.0,0.0,10112106.109324759,176373.79421221864,8.51802731784684,12.007637816126719,1000.0,0.0,16.98136425163046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117581.18971061094,58792.60450160772,56.0,60.0,57.33338194878059,5.333625015381672,0.0,1.0,0.0,1.0,0.0,0.5000170915629208,146271.0,1244000.0,0.0,1244000.0,1244000.0,0.0,DoS
80.0,0.0,2.0,136.0,68.0,68.0,68.0,0.0,0.0,1360000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,68.0,68.0,68.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,DoS
80.0,1246000.0,140868.0,7888612.0,60.0,56.0,56.000028395377235,60.0,0.0,9722786.516853932,169583.46709470305,8.845160007950705,12.508945244604002,1000.0,0.0,17.69032001590141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113056.17977528089,56527.287319422154,56.0,60.0,57.333339643447026,5.333371193836311,0.0,1.0,0.0,1.0,0.0,0.49999290115569184,140868.0,1246000.0,0.0,1246000.0,1246000.0,0.0,DoS
80.0,1341000.0,139964.0,7837988.0,60.0,56.0,56.0000285787774,60.0,0.0,8976337.06189411,156563.75838926175,9.586809921133845,13.537591250285372,1000.0,0.0,19.14504514801692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104372.85607755407,52190.90231170768,56.0,60.0,57.33342859320226,5.333790528441347,0.0,1.0,0.0,1.0,0.0,0.5000428681660999,139964.0,1341000.0,0.0,1341000.0,1341000.0,0.0,DoS
